# Triplochiton scleroxylon (Obeche) diameter measurements
# Location: Gambari Forest Reserve, Southwest Nigeria
# Sampling: 15 plots (25m x 25m), random selection
# Year: 2018
# Collector: Ogundipe Oluwadamilola
# Units: diameter at breast height (cm)
tree_id,dbh_cm
1,31.7
2,36.0
3,36.0
4,36.2
5,37.0
6,37.0
7,37.3
8,37.5
9,37.5
10,38.0
11,38.5
12,38.5
13,39.2
14,39.2
15,40.5
16,40.5
17,41.0
18,41.0
19,41.0
20,41.3
21,41.5
22,41.5
23,41.6
24,41.6
25,41.9
26,42.0
27,42.0
28,42.0
29,42.1
30,42.5
31,42.6
32,42.7
33,43.0
34,43.0
35,43.0
36,43.0
37,43.0
38,43.3
39,43.4
40,43.5
41,43.5
42,43.6
43,43.7
44,44.0
45,44.0
46,44.0
47,44.0
48,44.0
49,44.0
50,44.0
51,44.0
52,44.1
53,44.6
54,44.7
55,44.8
56,44.8
57,45.0
58,45.0
59,45.0
60,45.0
61,45.0
62,45.0
63,45.2
64,45.3
65,45.4
66,45.5
67,45.5
68,45.5
69,45.7
70,45.9
71,46.0
72,46.0
73,46.0
74,46.0
75,46.0
76,46.0
77,46.2
78,46.2
79,46.3
80,46.5
81,46.5
82,46.8
83,46.8
84,46.8
85,47.0
86,47.0
87,47.0
88,47.0
89,47.1
90,47.1
91,47.2
92,47.2
93,47.2
94,47.2
95,47.3
96,47.6
97,47.7
98,48.0
99,48.0
100,48.0
101,48.0
102,48.0
103,48.0
104,48.0
105,48.1
106,48.2
107,48.2
108,48.5
109,48.5
110,48.5
111,48.7
112,48.8
113,49.0
114,49.0
115,49.0
116,49.0
117,49.0
118,49.0
119,49.0
120,49.0
121,49.6
122,50.0
123,50.0
124,50.0
125,50.0
126,50.0
127,50.0
128,50.0
129,50.0
130,50.0
131,50.1
132,50.4
133,50.4
134,50.4
135,50.4
136,50.5
137,50.5
138,50.6
139,50.8
140,50.8
141,50.9
142,51.0
143,51.0
144,51.0
145,51.2
146,51.2
147,51.3
148,51.3
149,51.6
150,51.8
151,51.8
152,51.8
153,52.0
154,52.0
155,52.0
156,52.0
157,52.0
158,52.0
159,52.0
160,52.0
161,52.1
162,52.5
163,52.5
164,52.5
165,52.6
166,52.9
167,53.0
168,53.0
169,53.0
170,53.1
171,53.2
172,53.4
173,53.5
174,53.5
175,53.6
176,54.0
177,54.0
178,54.0
179,54.0
180,54.0
181,54.0
182,54.3
183,55.0
184,55.0
185,55.0
186,55.0
187,55.0
188,55.0
189,55.0
190,55.0
191,55.0
192,55.0
193,55.0
194,55.0
195,55.0
196,55.0
197,55.2
198,55.5
199,55.5
200,55.5
201,55.9
202,56.0
203,56.0
204,56.0
205,56.0
206,56.0
207,56.1
208,56.2
209,56.5
210,56.6
211,56.6
212,56.7
213,56.9
214,57.0
215,57.1
216,57.2
217,57.3
218,57.6
219,57.6
220,57.7
221,57.8
222,58.0
223,58.0
224,58.0
225,58.5
226,58.5
227,58.5
228,58.6
229,58.7
230,59.0
231,59.0
232,59.0
233,59.0
234,59.0
235,59.5
236,60.0
237,60.0
238,60.0
239,60.0
240,60.0
241,60.0
242,60.0
243,60.0
244,60.0
245,60.0
246,60.0
247,60.0
248,60.0
249,60.0
250,60.0
251,60.0
252,60.0
253,60.0
254,60.0
255,60.0
256,60.2
257,60.5
258,60.5
259,60.7
260,61.0
261,61.0
262,61.7
263,61.8
264,62.0
265,62.0
266,62.0
267,62.0
268,62.4
269,62.4
270,62.5
271,62.5
272,62.5
273,62.8
274,63.0
275,63.0
276,63.0
277,63.0
278,63.2
279,63.2
280,63.4
281,63.6
282,64.0
283,64.0
284,64.0
285,64.0
286,64.1
287,64.4
288,64.5
289,65.0
290,65.0
291,65.0
292,65.0
293,65.0
294,65.0
295,65.0
296,65.0
297,65.0
298,65.0
299,65.0
300,65.1
301,65.1
302,65.2
303,65.5
304,66.0
305,66.0
306,66.0
307,66.7
308,66.8
309,67.0
310,67.0
311,67.0
312,67.3
313,68.0
314,68.0
315,68.0
316,68.0
317,68.0
318,68.5
319,68.9
320,69.0
321,69.0
322,70.0
323,70.0
324,70.0
325,70.0
326,70.0
327,70.0
328,70.5
329,70.6
330,70.7
331,71.0
332,71.5
333,72.0
334,72.0
335,72.0
336,72.0
337,72.8
338,73.0
339,73.0
340,73.2
341,73.6
342,74.0
343,74.0
344,74.0
345,74.2
346,75.0
347,75.0
348,75.0
349,75.0
350,75.0
351,75.0
352,75.0
353,75.0
354,75.0
355,75.0
356,75.3
357,75.6
358,75.7
359,76.0
360,76.5
361,76.6
362,77.0
363,77.0
364,77.5
365,78.0
366,79.1
367,79.1
368,79.4
369,79.5
370,79.5
371,80.0
372,80.0
373,80.0
374,80.0
375,80.0
376,80.0
377,80.0
378,80.0
379,80.0
380,80.0
381,80.0
382,80.0
383,80.0
384,80.0
385,80.0
386,80.6
387,81.2
388,82.0
389,82.0
390,82.0
391,83.0
392,83.0
393,84.0
394,84.0
395,84.0
396,84.7
397,85.0
398,85.0
399,85.0
400,85.0
401,85.0
402,85.0
403,85.0
404,85.0
405,85.0
406,85.0
407,85.0
408,85.0
409,86.0
410,86.0
411,86.0
412,86.0
413,86.1
414,87.0
415,87.0
416,87.0
417,88.0
418,88.0
419,88.2
420,89.0
421,89.6
422,90.0
423,90.0
424,90.0
425,90.0
426,90.0
427,90.0
428,90.5
429,90.9
430,92.0
431,93.0
432,93.5
433,94.0
434,94.6
435,95.0
436,95.0
437,95.1
438,95.3
439,95.3
440,96.0
441,97.0
442,97.5
443,99.7
444,100.0
445,100.0
446,100.0
447,100.0
448,100.0
449,102.3
450,103.0
451,105.0
452,105.0
453,107.3
454,107.3
455,108.0
456,110.0
457,110.0
458,110.0
459,110.0
460,110.0
461,112.0
462,114.0
463,115.0
464,119.4
465,120.0
466,120.0
467,120.0
468,120.0
469,120.0
470,120.0
471,120.0
472,120.0
473,120.0
474,120.0
475,121.0
476,125.0
477,128.3
478,130.0
479,130.0
480,130.0
481,140.0
482,142.0
483,150.0
484,151.2
485,152.0
486,157.0
487,158.0
488,160.0
489,162.5
490,170.0
491,175.0
492,180.0
493,180.0
494,185.0
495,186.0
496,195.0
497,200.0
498,230.0
499,276.0
