# Triplochiton scleroxylon (Obeche) stem profile data
# Location: Gambari Forest Reserve, Southwest Nigeria
# Tree age: 26 years
# DBH: 56.5 cm, Total height: 26.2 m
# Measurements: sectional diameter over bark (ob) and inside bark (ib)
# Year: 2018
# Collector: Ogundipe Oluwadamilola
section,section_length_m,height_m,diameter_ob_cm,diameter_ib_cm
stump,0.64,0.64,66.0,65.0
1,1.00,1.64,58.4,57.4
2,1.00,2.64,46.5,45.5
3,1.00,3.64,43.2,42.2
4,1.00,4.64,42.0,41.0
5,1.00,5.64,38.0,37.0
6,1.00,6.64,36.0,35.0
7,1.00,7.64,41.0,40.0
8,1.00,8.64,32.0,31.0
9,1.00,9.64,31.9,31.0
10,0.50,10.14,31.0,30.1
11,0.50,10.64,34.0,33.2
12,1.00,11.64,24.0,23.3
13,1.00,12.64,24.0,23.4
14,1.00,13.64,24.5,24.0
15,1.00,14.64,20.5,20.0
16,1.00,15.64,20.0,19.5
17,1.00,16.64,17.0,16.6
18,1.00,17.64,16.0,15.6
19,1.00,18.64,16.0,15.6
20,1.00,19.64,15.0,14.6
21,1.00,20.64,13.0,12.6
22,0.50,21.14,12.8,12.5
23,0.50,21.64,9.0,8.7
