tree_id,species,age_years,dbh_cm,db_cm,dm_cm,dt_cm,total_height_m,merch_height_m,bole_height_m,crown_diameter_m,crown_length_m,crown_projection_area_m2,crown_ratio,basal_area_m2,total_volume_m3,merch_volume_m3,agb_kg,natural_form_factor
1,Tectona_grandis,30,33.1,40.1,18.0,10.0,37.0,23.0,22.7,7.0,14.0,0.00384895,0.3783783783783784,0.08606016550000001,11.8288445,7.3530655000000005,1371.75963557773,3.7148255309827403
2,Tectona_grandis,30,36.6,54.2,17.0,10.0,26.0,13.5,12.2,9.0,13.5,0.00636255,0.5192307692307693,0.10522243800000002,8.999735333333334,4.6729395,2030.4758706345672,3.2896373933729484
3,Tectona_grandis,30,43.6,68.2,25.0,15.0,32.0,15.5,21.7,9.6,10.0,0.007239168,0.3125,0.149320408,15.349717333333333,7.435019333333334,3014.181174478625,3.2124119743007045
4,Tectona_grandis,30,39.8,52.6,20.0,10.0,26.5,12.0,10.2,10.35,16.0,0.008414472374999999,0.6037735849056604,0.12442634199999998,9.894419833333334,4.480492,2140.0550962176594,3.000765973923218
5,Tectona_grandis,30,32.2,43.65,20.0,10.0,29.5,21.5,21.2,5.7,8.0,0.0025520895,0.2711864406779661,0.081443782,10.323237375000001,7.523715375000001,1450.6042540154003,4.296709231896918
6,Tectona_grandis,30,28.9,36.94,17.0,9.0,24.0,12.0,3.6999999999999993,6.0,20.0,0.0028277999999999997,0.8333333333333334,0.06560574549999999,7.159989599999999,3.5799947999999997,1109.0988375715083,4.547359346751116
7,Tectona_grandis,30,28.0,32.8,22.0,12.0,27.5,9.0,8.7,6.1,18.5,0.0029228454999999996,0.6727272727272727,0.0615832,9.562153333333331,3.1294319999999995,957.5822778831159,5.646258503401359
8,Tectona_grandis,30,44.3,58.6,35.0,13.0,35.0,16.0,23.7,7.9,11.0,0.0049023055,0.3142857142857143,0.15415358949999997,19.391376666666662,8.864629333333331,2640.067919736078,3.594073515448911
9,Tectona_grandis,30,25.8,31.8,20.0,10.0,24.0,9.0,8.7,5.75,15.0,0.002597059375,0.625,0.052286022,7.653912000000001,2.8702170000000002,857.761781731219,6.099393065320593
10,Tectona_grandis,30,61.2,83.1,38.0,16.0,42.0,27.0,25.7,10.5,16.0,0.0086601375,0.38095238095238093,0.294204312,27.613467,17.7515145,5089.2874028411325,2.2347174163783157
